Feature,Importance
Promo,0.21610649
Promo2SinceYear,0.08333399
CompetitionOpenSinceYear,0.07697267
CompetitionDistance,0.06912577
Assortment,0.06909525
Store,0.06303864
CompetitionOpenSinceMonth,0.06119354
Promo2,0.05690015
StoreType,0.056354996
Promo2SinceWeek,0.051440153
DayOfWeekFromDate,0.038679387
Month,0.036625545
Day,0.028718513
WeekOfYear,0.024114344
PromoOpen,0.02085671
CompetitionOpen,0.01197573
SchoolHoliday,0.0107824365
Year,0.009728452
StateHoliday,0.009003612
IsPromoMonth,0.005953671
